COD;REG;MUN;POPT2010;POPT2011;POPT2012;POPT2013;POPT2014;POPT2015;POPT2016;POPT2017;POPT2018;POPT2019;POPT2020;POPT2021;POPU2010;POPU2011;POPU2012;POPU2013;POPU2014;POPU2015;POPU2016;POPU2017;POPU2018;POPU2019;POPU2020;POPU2021;POPTESG2010;POPTESG2011;POPTESG2012;POPTESG2013;POPTESG2014;POPTESG2015;POPTESG2016;POPTESG2017;POPTESG2018;POPTESG2019;POPTESG2020;POPTESG2021;POPUESG2010;POPUESG2011;POPUESG2012;POPUESG2013;POPUESG2014;POPUESG2015;POPUESG2016;POPUESG2017;POPUESG2018;POPUESG2019;POPUESG2020;POPUESG2021
420515;Vale do Itajai ;Doutor Pedrinho;3604;3645;3683;3828;3883;3937;3990;4043;4013;4064;4115;4164;2019;2042;2063;2144;2175;2206;2235;2265;2248;2277;2305;2333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420517;Oeste Catarinense ;Entre Rios;3018;3031;3043;3118;3135;3151;3167;3183;3189;3203;3218;3232;928;932;936;959;964;969;974;979;981;985;989;994;450;0;120;0;300;0;110;115;120;120;120;127;450;0;120;0;300;0;110;115;120;120;120;127
420519;Sul Catarinense ;Ermo;2050;2050;2049;2081;2079;2078;2077;2076;2066;2063;2061;2059;619;619;619;628;628;627;627;627;624;623;622;622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420520;Oeste Catarinense ;Erval Velho;4352;4359;4365;4448;4456;4464;4472;4480;4407;4412;4418;4423;2842;2847;2850;2905;2910;2915;2920;2926;2878;2881;2885;2888;0;0;0;0;0;0;0;0;0;2300;2658;2697;0;0;0;0;0;0;0;0;0;0;2658;2697
420530;Oeste Catarinense ;Faxinal dos Guedes;10661;10653;10645;10797;10784;10771;10758;10745;10686;10667;10649;10630;7718;7712;7706;7816;7807;7798;7788;7779;7736;7722;7709;7696;7718;0;0;7816;0;7798;0;0;7736;7736;7500;7696;7718;0;0;7816;0;7798;0;0;7736;7000;7500;7696
420535;Oeste Catarinense ;Flor do Sertao;1588;1587;1585;1605;1603;1600;1597;1594;1586;1582;1579;1575;328;328;327;332;331;330;330;329;328;327;326;325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420540;Grande Florianopolis;Florianopolis;421240;427298;433158;453285;461524;469690;477798;485838;492977;500973;508826;516524;405286;411115;416753;436117;444044;451901;459702;467437;474306;481999;489555;496961;227075;241227;230035;249740;257793;270045;287873;306004;316143;324821;332206;339430;227075;241227;230035;249740;257793;270045;287873;306004;316143;324821;332206;339430
420543;Oeste Catarinense ;Formosa do Sul;2601;2592;2583;2603;2589;2576;2562;2549;2525;2510;2495;2481;1084;1080;1076;1085;1079;1074;1068;1062;1052;1046;1040;1034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420545;Sul Catarinense ;Forquilhinha;22548;22871;23183;24256;24694;25129;25560;25988;26368;26793;27211;27621;18426;18690;18945;19822;20180;20535;20887;21237;21548;21895;22237;22572;0;0;0;0;0;0;0;0;5427;5414;5631;5702;0;0;0;0;0;0;0;0;5427;5414;5631;5702
420550;Oeste Catarinense ;Fraiburgo;34553;34677;34796;35618;35781;35942;36102;36261;36299;36443;36584;36723;30291;30400;30504;31225;31368;31509;31649;31788;31822;31948;32071;32193;2536;2858;2858;4719;4946;4968;5000;5088;5196;5216;5237;4529;2536;2858;2858;4719;4946;4968;5000;5088;5196;5216;5237;4529
420555;Serrana;Frei Rogerio;2474;2436;2399;2354;2301;2249;2197;2146;2077;2023;1970;1918;706;695;685;672;657;642;627;612;593;577;562;547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420560;Oeste Catarinense ;Galvao;3472;3414;3452;3379;3297;3217;3137;3058;2956;2873;2791;2711;2347;2308;2333;2284;2229;2175;2121;2067;1998;1942;1887;1833;210;210;215;215;0;0;317;317;317;317;330;350;210;210;215;215;0;0;317;317;317;317;330;350
420570;Sul Catarinense ;Garopaba;18138;18520;18890;20024;20545;21061;21573;22082;22568;23078;23579;24070;15320;15643;15955;16913;17353;17789;18221;18651;19062;19492;19916;20330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420580;Norte Catarinense;Garuva;14761;15021;15272;16081;16435;16786;17134;17479;17800;18145;18484;18816;11451;11653;11847;12475;12750;13022;13292;13560;13809;14076;14339;14597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420590;Vale do Itajai ;Gaspar;57981;58869;59728;62618;63826;65024;66213;67392;68465;69639;70793;71925;47126;47848;48546;50895;51877;52850;53817;54775;55647;56601;57539;58459;0;0;0;0;0;0;0;0;1124;1124;1656;1683;0;0;0;0;0;0;0;0;1124;1124;1656;1683
420600;Grande Florianopolis;Governador Celso Ramos;12999;13107;13211;13655;13801;13944;14087;14229;14333;14471;14606;14739;12252;12354;12452;12870;13008;13143;13277;13411;13509;13639;13767;13892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420610;Sul Catarinense ;Grao Para;6223;6246;6268;6418;6448;6478;6507;6537;6542;6569;6595;6621;3019;3030;3041;3114;3128;3143;3157;3171;3174;3187;3199;3212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420620;Sul Catarinense ;Gravatal;10635;10698;10758;11064;11148;11231;11313;11394;11423;11501;11577;11652;4443;4469;4494;4622;4657;4692;4726;4760;4772;4805;4837;4868;1554;1754;1716;1758;1855;1890;0;0;2663;3545;5671;6090;1554;1754;1716;1758;1855;1890;0;0;2663;3545;4837;4868
420630;Vale do Itajai ;Guabiruba;18430;18849;19254;20474;21046;21612;22174;22732;23272;23832;24382;24922;17066;17454;17829;18959;19488;20013;20533;21050;21550;22068;22577;23078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420640;Oeste Catarinense ;Guaraciaba;10498;10457;10417;10492;10433;10374;10316;10259;10154;10090;10026;9964;4924;4905;4886;4921;4894;4866;4839;4812;4763;4733;4703;4674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420650;Norte Catarinense;Guaramirim;35172;35918;36640;38851;39869;40878;41879;42872;43822;44819;45797;46757;28046;28641;29217;30980;31791;32596;33394;34186;34943;35738;36518;37284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420660;Oeste Catarinense ;Guaruja do Sul;4908;4925;4941;5054;5076;5097;5118;5139;5141;5160;5178;5196;2655;2664;2673;2734;2746;2757;2769;2780;2781;2791;2801;2811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420665;Oeste Catarinense ;Guatambu;4679;4678;4676;4746;4743;4739;4736;4733;4710;4704;4698;4692;1749;1749;1748;1774;1773;1771;1770;1769;1761;1758;1756;1754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420670;Oeste Catarinense ;Herval D Oeste;21239;21331;21420;21961;22083;22204;22324;22443;22495;22606;22714;22820;18851;18933;19012;19492;19600;19708;19814;19920;19966;20064;20160;20254;5025;5916;6889;11073;12507;13533;15169;16010;16750;16996;17413;17745;5025;5916;6889;11073;12507;13533;15169;16010;16750;16996;17413;17745
420675;Oeste Catarinense ;Ibiam;1945;1945;1944;1973;1971;1970;1968;1967;1959;1957;1954;1952;695;695;695;705;704;704;703;703;700;699;698;698;695;0;0;0;0;0;0;1967;1959;1957;699;725;695;0;0;0;0;0;0;703;700;699;697;697
420680;Oeste Catarinense ;Ibicare;3373;3357;3341;3359;3336;3313;3290;3268;3227;3202;3178;3154;1557;1550;1542;1551;1540;1529;1519;1509;1490;1478;1467;1456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420690;Vale do Itajai ;Ibirama;17330;17448;17561;18097;18255;18412;18567;18721;18802;18950;19096;19238;14813;14914;15010;15469;15604;15738;15870;16002;16071;16198;16323;16444;0;0;0;0;0;0;0;0;0;0;0;3094;0;0;0;0;0;0;0;0;0;0;0;3094
420700;Sul Catarinense ;Icara;58833;59616;49238;51416;52284;53145;53998;54845;55581;56421;57247;58055;53913;54631;45120;47116;47912;48701;49482;50259;50933;51703;52460;53200;315;315;315;320;340;0;0;12081;12172;12163;12163;12163;315;315;315;300;320;0;0;12081;12172;12163;12163;12163
420710;Vale do Itajai ;Ilhota;12355;12492;12624;13124;13309;13493;13676;13857;14005;14184;14359;14531;7898;7986;8070;8390;8508;8625;8742;8858;8953;9067;9179;9289;0;0;0;1103;1500;0;972;972;1352;3038;3038;3038;0;0;0;1103;1500;0;972;972;1352;3038;3038;3038
420720;Sul Catarinense ;Imarui;11672;11540;11411;11301;11117;10933;10752;10571;10326;10135;9948;9764;4005;3960;3915;3878;3815;3751;3689;3627;3543;3478;3413;3350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420730;Sul Catarinense ;Imbituba;40170;40514;40845;42244;42708;43168;43624;44076;44412;44853;45286;45711;40170;40514;40845;42244;42708;43168;43624;44076;44412;44853;45286;45711;0;1371;1640;1646;0;1923;1941;1941;2508;3140;3140;3140;0;1371;1640;1646;0;1923;1941;1941;2508;3140;3140;3140
420740;Vale do Itajai ;Imbuia;5707;5743;5777;5946;5993;6040;6087;6133;6153;6197;6241;6284;2515;2531;2546;2620;2641;2662;2682;2703;2712;2731;2750;2769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420750;Vale do Itajai ;Indaial;54854;55980;57068;60433;61968;63489;65000;66497;67923;69425;70900;72346;52927;54013;55063;58310;59791;61259;62717;64161;65537;66986;68409;69805;0;0;0;0;0;0;9196;11076;12280;13184;13588;14271;0;0;0;0;0;0;9196;11076;12280;13184;13588;14271
420757;Oeste Catarinense ;Iomere;2739;2754;2768;2842;2861;2880;2899;2917;2927;2945;2962;2979;907;912;917;941;947;954;960;966;969;975;981;986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420760;Oeste Catarinense ;Ipira;4752;4725;4699;4713;4675;4637;4599;4562;4486;4446;4406;4367;2521;2507;2493;2500;2480;2460;2440;2420;2380;2359;2337;2317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420765;Oeste Catarinense ;Ipora do Oeste;8409;8450;8490;8714;8769;8823;8876;8930;8945;8996;9045;9093;4122;4142;4162;4272;4298;4325;4351;4377;4385;4410;4434;4457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
