TimeIndex,Decibel
5459,63.2230705
5500,60.52126414
5540,56.11158789
5580,48.86705868
5620,41.2041709
5660,47.65744018
5700,54.17558746
5740,54.49339661
5780,56.24633608
5820,60.51539112
5860,60.24798641
5900,61.19655718
5940,66.39285621
5980,63.05133861
6020,66.59816959
6060,63.31599639
6100,54.42434741
6140,60.37373415
6180,64.00070399
6220,58.12584551
6280,59.91668784
6320,57.58604568
6360,60.28690744
6400,52.35168467
6439,60.90214719
6480,59.80423108
6520,54.07539798
6559,55.59308885
6600,51.50714157
6640,49.33935326
6680,54.70419481
6720,60.73993179
6760,58.4053306
6800,48.4714345
6840,51.25733491
6880,53.18934795
6920,45.79680712
6960,36.5615785
7000,29.48678162
7040,15.27634216
7080,12.09254633
7120,22.33447982
7160,40.71382784
7200,57.22098881
7240,59.08368897
7280,59.93062247
7320,60.59785294
7360,60.95398544
7400,62.70473719
7440,61.436445
7480,58.98226383
7520,53.3580208
7560,46.87573632
7600,54.91543632
7640,45.38436036
7680,46.43677427
7720,59.352982
7760,62.48160417
7800,62.93155007
7840,67.08994945
7880,66.11406877
7940,67.75795048
7980,68.60209675
8020,66.55239233
8060,64.57199226
8101,64.08260704
8140,63.56104188
8180,59.37140832
8220,53.98248193
8260,46.93941216
8300,40.07569977
8340,33.82510918
8380,55.41969629
8420,62.84000316
8460,63.74427836
8500,61.62993049
8540,62.40082008
8580,59.43301422
8620,58.79052938
8660,55.19244141
8700,52.9287215
8740,45.30269167
8780,48.1777574
8820,48.01961397
8860,39.0305545
8901,37.403344
8940,37.69281117
8980,43.4811557
9020,55.38600101
9079,60.75178141
9122,61.93402706
9160,60.57987357
9199,56.62857544
9240,51.02414158
9280,55.34669246
9320,63.75007705
9359,61.75248916
9399,56.13387936
9439,49.73833205
9479,53.79487643
9519,52.11732696
9559,46.77028492
9599,37.69204637
9639,31.91124013
9679,38.68466655
9719,48.77061214
9759,54.64931334
9799,52.22732192
9839,47.43802627
9879,56.04179562
9919,54.94052153
9959,49.11329422
9999,46.19399908
10039,37.98210375
10079,39.61185856
10119,42.25589079
10179,39.52645251
10219,33.91200628
10259,22.5479427
10299,43.86059992
10339,52.73592024
10379,51.75198023
10419,43.21072705
10459,61.51534658
10499,62.66120271
10539,61.47903761
10579,63.65652433
10619,60.19912151
10659,57.35112329
10699,53.67498234
10739,46.40379898
10779,40.24512422
10819,24.64473912
10859,19.28685549
10899,16.908929
10939,14.38309205
10979,13.45124195
11019,14.44684204
11059,13.53376478
11099,13.14758067
11139,13.70211052
11179,20.53151357
11219,15.17403578
11259,16.18981462
11319,13.14370456
11359,12.06807812
11399,14.06378582
11439,20.05794579
11479,15.33321155
11500,46.98114717
11540,50.63388139
11580,52.25138848
11620,52.66139105
11660,55.74518372
11700,57.57149683
11740,56.81397366
11780,50.16740787
11820,48.57616635
11880,47.47575267
11919,55.0281905
11959,50.58995049
11999,56.31204313
12039,63.58958547
12082,64.66179445
12120,65.30171576
12160,61.27687585
12201,59.19163758
12241,56.49630658
12281,65.10829413
12321,65.71510006
12363,62.38741907
12404,57.12033565
12441,57.77184834
12482,56.1551016
12522,56.92850266
12562,62.23045641
12602,59.98541556
12643,62.01283304
12680,58.24272129
12720,57.71644652
12760,51.12610294
12800,50.10753937
12840,58.64801366
12880,61.49743725
12920,51.4728474
12979,43.48531017
13019,35.27134703
13059,48.41376665
13099,51.24689954
13139,46.8899149
13179,39.57053132
13220,36.15998402
13260,38.28783176
13300,49.10187264
13340,56.06540377
13380,60.79940439
13420,57.44778198
13459,49.66138041
13500,49.85517463
13540,59.03377594
13580,57.68856085
13620,60.68601244
13660,59.95533165
13700,64.6422933
13740,57.70854881
13780,57.75378619
13820,60.08570162
13860,55.12477445
13900,58.00501859
13940,62.42831204
13980,61.18405378
14020,64.2415562
14060,64.87590704
14120,62.77762569
14159,59.35759742
14199,61.37279849
14239,58.6629345
14279,60.99743868
14319,65.57868368
14360,66.39870929
14399,61.52304559
14439,56.00846608
14480,51.11886006
14520,56.3805734
14560,58.27061921
14599,63.15051606
14640,63.10503401
14680,64.26262355
14720,63.45459179
14760,60.02672901
14800,70.64919006
14840,63.5011336
14880,63.04136071
14920,64.93368751
14960,61.26316857
15000,56.70453996
15040,52.2389063
15080,52.1864915
15120,59.29506397
15160,56.06074812
15219,47.93486259
15260,56.18948666
15300,59.21465128
15340,57.63639709
15379,53.2788199
15419,59.56466357
15460,56.63815884
15499,50.5872982
15541,41.07411567
15579,35.96320174
15619,39.64465225
15659,48.45909568
15700,58.03574401
15739,62.07784795
15780,61.64485208
15820,52.5801041
15860,40.09286744
15900,41.20314464
15940,53.97020361
15979,59.07916926
16019,49.56101618
16059,39.85046339
16100,29.39218855
16140,43.24127977
16180,55.25088595
16220,59.10607639
16260,60.74853864
16300,55.14083032
16340,57.456812
16380,61.5769324
16421,61.96714137
16462,58.0171109
